,1,3,5,7,9
UUCF-Inverse Euclidean Squared,1.085951,1.034979,1.020903,1.013421,1.008104
UUCF-Inverse Manhattan,1.100333,1.040083,1.021925,1.013053,1.007300
UUCF-Cosine,1.245777,1.054529,1.012215,0.993344,0.983135
UUCF-Pearson,1.245777,1.054529,1.012215,0.993344,0.983135
